Rk,Team,AvAge,GP,W,L,OL,PTS,PTS%,GF,GA,SOW,SOL,SRS,SOS,TG/G,EVGF,EVGA,PP,PPO,PP%,PPA,PPOA,PK%,SH,SHA,PIM/G,oPIM/G,S,S%,SA,SV%,SO
1,Boston Bruins,29.1,70,44,14,12,100,.714,227,167,0,7,0.74,-0.02,5.63,165,126,57,226,25.22,34,215,84.19,5,7,9.7,10.5,2247,10.1,2103,.921,8
2,St. Louis Blues,28.4,71,42,19,10,94,.662,223,190,2,3,0.47,0.02,5.82,169,142,49,202,24.26,42,203,79.31,5,6,7.2,7.4,2179,10.2,2100,.910,5
3,Colorado Avalanche,26.8,70,42,20,8,92,.657,236,190,1,1,0.64,-0.02,6.09,182,145,46,241,19.09,39,210,81.43,8,6,8.5,10.0,2257,10.5,2193,.913,4
4,Tampa Bay Lightning,27.7,70,43,21,6,92,.657,243,194,2,1,0.71,0.00,6.24,188,144,49,211,23.22,43,231,81.39,6,7,10.3,9.9,2176,11.2,2165,.910,4
5,Washington Capitals,29.0,69,41,20,8,90,.652,236,212,4,3,0.41,0.04,6.49,188,161,42,216,19.44,42,241,82.57,6,9,10.1,9.5,2206,10.7,2084,.898,1
6,Philadelphia Flyers,27.2,69,41,21,7,89,.645,227,191,5,5,0.52,0.00,6.06,172,147,47,226,20.80,38,209,81.82,8,6,7.6,9.0,2166,10.5,1977,.903,3
7,Vegas Golden Knights,29.2,71,39,24,8,86,.606,224,209,3,2,0.21,-0.02,6.10,173,156,42,191,21.99,50,214,76.64,9,3,8.0,7.3,2450,9.1,2082,.900,6
8,Pittsburgh Penguins,27.7,69,40,23,6,86,.623,221,196,3,0,0.39,-0.02,6.04,173,157,42,211,19.91,34,190,82.11,6,5,7.5,8.2,2204,10.0,2051,.904,4
9,Edmonton Oilers,28.0,71,37,25,9,83,.585,223,215,2,2,0.09,-0.02,6.17,161,174,59,200,29.50,31,199,84.42,3,10,8.1,7.6,2100,10.6,2274,.905,2
10,Dallas Stars,29.4,69,37,24,8,82,.594,178,174,2,3,0.09,0.05,5.10,131,126,42,199,21.11,44,217,79.72,5,4,8.2,7.4,2113,8.4,2177,.920,2
11,Columbus Blue Jackets,26.2,70,33,22,15,81,.579,180,183,0,4,-0.12,-0.02,5.19,146,147,31,189,16.40,31,169,81.66,3,5,6.5,6.6,2272,7.9,2092,.913,7
12,Toronto Maple Leafs,26.8,70,36,25,9,81,.579,237,222,1,5,0.15,-0.01,6.56,187,172,45,195,23.08,43,193,77.72,5,7,6.7,6.7,2302,10.3,2233,.901,4
13,Carolina Hurricanes,26.7,68,38,25,5,81,.596,217,193,5,0,0.41,-0.02,6.03,161,150,46,206,22.33,39,243,83.95,10,4,8.6,8.4,2261,9.6,1994,.903,6
14,Winnipeg Jets,26.5,71,37,28,6,80,.563,213,201,3,2,0.17,-0.01,5.83,165,159,42,205,20.49,39,174,77.59,6,3,7.4,8.6,2222,9.6,2315,.913,6
15,New York Islanders,28.8,68,35,23,10,80,.588,189,190,3,3,0.01,0.02,5.57,154,151,29,168,17.26,34,176,80.68,6,5,8.5,7.8,2016,9.4,2123,.911,3
16,New York Rangers,26.2,70,37,28,5,79,.564,233,220,1,2,0.15,-0.03,6.47,173,162,52,227,22.91,52,230,77.39,8,6,11.2,10.2,2175,10.7,2381,.908,3
