p1name,p1pos,p1type,p1team,p1teamname,p1icetime,p2name,p2pos,p2type,p2team,p2teamname,p2icetime,time
Brayden McNabb,Defenseman,Defenseman,54,Vegas Golden Knights,1023,Zach Whitecloud,Defenseman,Defenseman,54,Vegas Golden Knights,1251,120
Calle Jarnkrok,Center,Forward,18,Nashville Predators,1024,Rocco Grimaldi,Right Wing,Forward,18,Nashville Predators,533,120
Joe Thornton,Center,Forward,10,Toronto Maple Leafs,695,Alexander Kerfoot,Center,Forward,10,Toronto Maple Leafs,967,120
Max Jones,Left Wing,Forward,24,Anaheim Ducks,702,Sam Carrick,Center,Forward,24,Anaheim Ducks,168,120
Conor Sheary,Left Wing,Forward,15,Washington Capitals,837,Daniel Sprong,Right Wing,Forward,15,Washington Capitals,521,121
Mason Appleton,Center,Forward,52,Winnipeg Jets,971,Paul Stastny,Center,Forward,52,Winnipeg Jets,1192,121
Sam Bennett,Center,Forward,13,Florida Panthers,817,Johnny Gaudreau,Left Wing,Forward,20,Calgary Flames,1144,121
Blake Coleman,Center,Forward,14,Tampa Bay Lightning,1369,Mathieu Joseph,Right Wing,Forward,14,Tampa Bay Lightning,758,121
Rasmus Ristolainen,Defenseman,Defenseman,7,Buffalo Sabres,1185,Matt Irwin,Defenseman,Defenseman,7,Buffalo Sabres,404,121
Alexander Kerfoot,Center,Forward,10,Toronto Maple Leafs,967,Jimmy Vesey,Left Wing,Forward,23,Vancouver Canucks,653,121
Ryan Donato,Center,Forward,28,San Jose Sharks,695,Timo Meier,Right Wing,Forward,28,San Jose Sharks,917,121
Erik Haula,Left Wing,Forward,18,Nashville Predators,1026,Luke Kunin,Center,Forward,18,Nashville Predators,657,121
Erik Gudbranson,Defenseman,Defenseman,18,Nashville Predators,850,Mike Reilly,Defenseman,Defenseman,6,Boston Bruins,1342,122
Sam Reinhart,Right Wing,Forward,7,Buffalo Sabres,1123,Casey Mittelstadt,Center,Forward,7,Buffalo Sabres,715,122
Zach Hyman,Left Wing,Forward,10,Toronto Maple Leafs,1017,Alexander Kerfoot,Center,Forward,10,Toronto Maple Leafs,967,122
Evgeny Kuznetsov,Center,Forward,15,Washington Capitals,813,Conor Sheary,Left Wing,Forward,15,Washington Capitals,837,122
Kyle Palmieri,Right Wing,Forward,2,New York Islanders,1256,Yegor Sharangovich,Center,Forward,1,New Jersey Devils,993,122
Frank Vatrano,Center,Forward,13,Florida Panthers,1005,Aleksander Barkov,Center,Forward,13,Florida Panthers,1281,122
Nick Holden,Defenseman,Defenseman,54,Vegas Golden Knights,506,Zach Whitecloud,Defenseman,Defenseman,54,Vegas Golden Knights,1251,122
John Tavares,Center,Forward,10,Toronto Maple Leafs,1145,Alexander Kerfoot,Center,Forward,10,Toronto Maple Leafs,967,122
Josh Bailey,Right Wing,Forward,2,New York Islanders,1396,Anders Lee,Left Wing,Forward,2,New York Islanders,524,123
David Savard,Defenseman,Defenseman,14,Tampa Bay Lightning,1354,Gabriel Carlsson,Defenseman,Defenseman,29,Columbus Blue Jackets,207,123
