p1name,p1pos,p1type,p1team,p1teamname,p1icetime,p2name,p2pos,p2type,p2team,p2teamname,p2icetime,time
Chandler Stephenson,Center,Forward,54,Vegas Golden Knights,964,Brendan Leipsic,Left Wing,Forward,0,No team,566,120
Nick Suzuki,Center,Forward,8,Montréal Canadiens,1244,Phillip Danault,Center,Forward,8,Montréal Canadiens,1410,120
Alex Killorn,Left Wing,Forward,14,Tampa Bay Lightning,1249,Ondrej Palat,Left Wing,Forward,14,Tampa Bay Lightning,1169,120
Josh Anderson,Right Wing,Forward,8,Montréal Canadiens,418,Sonny Milano,Left Wing,Forward,24,Anaheim Ducks,782,120
Andrej Sekera,Defenseman,Defenseman,25,Dallas Stars,1045,Jamie Oleksiak,Defenseman,Defenseman,25,Dallas Stars,1110,120
Shayne Gostisbehere,Defenseman,Defenseman,4,Philadelphia Flyers,833,Philippe Myers,Defenseman,Defenseman,4,Philadelphia Flyers,865,120
Joakim Nordstrom,Center,Forward,20,Calgary Flames,608,Par Lindholm,Center,Forward,6,Boston Bruins,450,120
Frank Vatrano,Center,Forward,13,Florida Panthers,1079,Noel Acciari,Center,Forward,13,Florida Panthers,1115,120
Taylor Hall,Left Wing,Forward,7,Buffalo Sabres,1336,Clayton Keller,Right Wing,Forward,53,Arizona Coyotes,1256,121
Nate Thompson,Center,Forward,52,Winnipeg Jets,914,Dale Weise,Right Wing,Forward,0,No team,214,121
TJ Brodie,Defenseman,Defenseman,10,Toronto Maple Leafs,1430,Rasmus Andersson,Defenseman,Defenseman,20,Calgary Flames,1459,121
Brayden Schenn,Center,Forward,19,St. Louis Blues,1411,Tyler Bozak,Center,Forward,19,St. Louis Blues,1050,121
Marcus Johansson,Center,Forward,30,Minnesota Wild,1130,Casey Mittelstadt,Center,Forward,7,Buffalo Sabres,468,121
Aleksander Barkov,Center,Forward,13,Florida Panthers,1510,Brett Connolly,Right Wing,Forward,13,Florida Panthers,1035,122
Artem Anisimov,Center,Forward,9,Ottawa Senators,695,Connor Brown,Right Wing,Forward,9,Ottawa Senators,1518,122
Alex Chiasson,Right Wing,Forward,22,Edmonton Oilers,907,Jujhar Khaira,Left Wing,Forward,22,Edmonton Oilers,806,122
Miles Wood,Left Wing,Forward,1,New Jersey Devils,902,Jesper Bratt,Left Wing,Forward,1,New Jersey Devils,905,122
Olli Maatta,Defenseman,Defenseman,26,Los Angeles Kings,1239,Adam Boqvist,Defenseman,Defenseman,16,Chicago Blackhawks,680,122
Vladislav Gavrikov,Defenseman,Defenseman,29,Columbus Blue Jackets,1409,Andrew Peeke,Defenseman,Defenseman,29,Columbus Blue Jackets,341,122
Teddy Blueger,Center,Forward,5,Pittsburgh Penguins,1208,Sam Lafferty,Center,Forward,5,Pittsburgh Penguins,497,122
Johnny Boychuk,Defenseman,Defenseman,2,New York Islanders,1157,Devon Toews,Defenseman,Defenseman,21,Colorado Avalanche,1539,122
Ondrej Kase,Right Wing,Forward,6,Boston Bruins,978,Max Comtois,Left Wing,Forward,24,Anaheim Ducks,415,122
Joel Armia,Right Wing,Forward,8,Montréal Canadiens,1092,Ilya Kovalchuk,Left Wing,Forward,0,No team,856,122
Colin White,Center,Forward,9,Ottawa Senators,991,Drake Batherson,Right Wing,Forward,9,Ottawa Senators,374,122
Jimmy Vesey,Left Wing,Forward,10,Toronto Maple Leafs,915,Curtis Lazar,Center,Forward,7,Buffalo Sabres,450,122
Brendan Gallagher,Right Wing,Forward,8,Montréal Canadiens,999,Max Domi,Center,Forward,29,Columbus Blue Jackets,1394,122
Derick Brassard,Center,Forward,0,No team,942,Josh Bailey,Right Wing,Forward,2,New York Islanders,1202,122
Artturi Lehkonen,Left Wing,Forward,8,Montréal Canadiens,1113,Jordan Weal,Center,Forward,8,Montréal Canadiens,667,122
Christoffer Ehn,Center,Forward,0,No team,562,Brendan Perlini,Left Wing,Forward,0,No team,430,123
Luke Kunin,Center,Forward,18,Nashville Predators,1070,Mats Zuccarello,Right Wing,Forward,30,Minnesota Wild,1071,123
Jason Spezza,Center,Forward,10,Toronto Maple Leafs,672,Pierre Engvall,Left Wing,Forward,10,Toronto Maple Leafs,573,123
Cody Eakin,Center,Forward,7,Buffalo Sabres,770,Jonathan Marchessault,Center,Forward,54,Vegas Golden Knights,1279,123
Carl Hagelin,Left Wing,Forward,15,Washington Capitals,833,Nic Dowd,Center,Forward,15,Washington Capitals,623,123
Matt Nieto,Left Wing,Forward,28,San Jose Sharks,1006,Joonas Donskoi,Right Wing,Forward,21,Colorado Avalanche,1075,123
Kasperi Kapanen,Right Wing,Forward,5,Pittsburgh Penguins,1141,Trevor Moore,Center,Forward,26,Los Angeles Kings,570,123
Adam Erne,Left Wing,Forward,17,Detroit Red Wings,667,Brendan Perlini,Left Wing,Forward,0,No team,430,123
Barclay Goodrow,Center,Forward,14,Tampa Bay Lightning,1186,Logan Couture,Center,Forward,28,San Jose Sharks,1064,123
Travis Konecny,Right Wing,Forward,4,Philadelphia Flyers,1174,Morgan Frost,Center,Forward,4,Philadelphia Flyers,299,123
Anthony Duclair,Left Wing,Forward,0,No team,1154,Tyler Ennis,Center,Forward,22,Edmonton Oilers,1045,124
Jacob de la Rose,Left Wing,Forward,19,St. Louis Blues,556,Ivan Barbashev,Center,Forward,19,St. Louis Blues,932,124
Paul Stastny,Center,Forward,52,Winnipeg Jets,1338,Valentin Zykov,Left Wing,Forward,0,No team,183,124
Sidney Crosby,Center,Forward,5,Pittsburgh Penguins,869,Jared McCann,Center,Forward,5,Pittsburgh Penguins,1091,124
Mikael Backlund,Center,Forward,20,Calgary Flames,1341,Derek Ryan,Center,Forward,20,Calgary Flames,1022,124
Frans Nielsen,Center,Forward,17,Detroit Red Wings,871,Brendan Perlini,Left Wing,Forward,0,No team,430,124
Rasmus Sandin,Defenseman,Defenseman,10,Toronto Maple Leafs,410,Tyson Barrie,Defenseman,Defenseman,22,Edmonton Oilers,1628,124
Bobby Ryan,Right Wing,Forward,17,Detroit Red Wings,325,Chris Tierney,Center,Forward,9,Ottawa Senators,1320,124
Mason Appleton,Center,Forward,52,Winnipeg Jets,519,Nicholas Shore,Center,Forward,0,No team,593,124
Victor Mete,Defenseman,Defenseman,8,Montréal Canadiens,898,Ben Chiarot,Defenseman,Defenseman,8,Montréal Canadiens,1720,124
Nick Suzuki,Center,Forward,8,Montréal Canadiens,1244,Nate Thompson,Center,Forward,52,Winnipeg Jets,914,124
Cody Eakin,Center,Forward,7,Buffalo Sabres,770,William Carrier,Left Wing,Forward,54,Vegas Golden Knights,729,125
Boone Jenner,Center,Forward,29,Columbus Blue Jackets,1360,Cam Atkinson,Right Wing,Forward,29,Columbus Blue Jackets,880,125
Kasperi Kapanen,Right Wing,Forward,5,Pittsburgh Penguins,1141,Auston Matthews,Center,Forward,10,Toronto Maple Leafs,1602,125
