p1name,p1pos,p1type,p1team,p1teamname,p1icetime,p2name,p2pos,p2type,p2team,p2teamname,p2icetime,time
Ondrej Kase,Right Wing,Forward,6,Boston Bruins,4.67,Trent Frederic,Center,Forward,6,Boston Bruins,14.18,0.07
Ondrej Kase,Right Wing,Forward,6,Boston Bruins,4.67,Sean Kuraly,Center,Forward,6,Boston Bruins,17.08,0.07
Jake DeBrusk,Left Wing,Forward,6,Boston Bruins,13.25,Trent Frederic,Center,Forward,6,Boston Bruins,14.18,0.1
Sean Kuraly,Center,Forward,6,Boston Bruins,17.08,David Krejci,Center,Forward,6,Boston Bruins,17.78,0.15
Ondrej Kase,Right Wing,Forward,6,Boston Bruins,4.67,Charlie Coyle,Center,Forward,6,Boston Bruins,20.48,0.2
Nick Ritchie,Left Wing,Forward,6,Boston Bruins,15.12,Chris Wagner,Right Wing,Forward,6,Boston Bruins,14.72,0.22
Patrice Bergeron,Center,Forward,6,Boston Bruins,15.77,Jake DeBrusk,Left Wing,Forward,6,Boston Bruins,13.25,0.37
Brad Marchand,Left Wing,Forward,6,Boston Bruins,16.7,Jake DeBrusk,Left Wing,Forward,6,Boston Bruins,13.25,0.37
Sean Kuraly,Center,Forward,6,Boston Bruins,17.08,Brad Marchand,Left Wing,Forward,6,Boston Bruins,16.7,0.48
Patrice Bergeron,Center,Forward,6,Boston Bruins,15.77,Ondrej Kase,Right Wing,Forward,6,Boston Bruins,4.67,0.55
Chris Wagner,Right Wing,Forward,6,Boston Bruins,14.72,Patrice Bergeron,Center,Forward,6,Boston Bruins,15.77,0.6
Chris Wagner,Right Wing,Forward,6,Boston Bruins,14.72,Jake DeBrusk,Left Wing,Forward,6,Boston Bruins,13.25,0.67
Nick Ritchie,Left Wing,Forward,6,Boston Bruins,15.12,Anders Bjork,Left Wing,Forward,6,Boston Bruins,10.97,0.68
Nick Ritchie,Left Wing,Forward,6,Boston Bruins,15.12,Trent Frederic,Center,Forward,6,Boston Bruins,14.18,0.68
Brad Marchand,Left Wing,Forward,6,Boston Bruins,16.7,Ondrej Kase,Right Wing,Forward,6,Boston Bruins,4.67,0.75
Craig Smith,Center,Forward,6,Boston Bruins,16.53,Patrice Bergeron,Center,Forward,6,Boston Bruins,15.77,0.77
Chris Wagner,Right Wing,Forward,6,Boston Bruins,14.72,Brad Marchand,Left Wing,Forward,6,Boston Bruins,16.7,0.78
Trent Frederic,Center,Forward,6,Boston Bruins,14.18,Patrice Bergeron,Center,Forward,6,Boston Bruins,15.77,0.85
Nick Ritchie,Left Wing,Forward,6,Boston Bruins,15.12,Jake DeBrusk,Left Wing,Forward,6,Boston Bruins,13.25,0.87
Charlie Coyle,Center,Forward,6,Boston Bruins,20.48,Trent Frederic,Center,Forward,6,Boston Bruins,14.18,1.17
Jake DeBrusk,Left Wing,Forward,6,Boston Bruins,13.25,Sean Kuraly,Center,Forward,6,Boston Bruins,17.08,1.23
Craig Smith,Center,Forward,6,Boston Bruins,16.53,Anders Bjork,Left Wing,Forward,6,Boston Bruins,10.97,1.27
Nick Ritchie,Left Wing,Forward,6,Boston Bruins,15.12,Sean Kuraly,Center,Forward,6,Boston Bruins,17.08,1.43
Craig Smith,Center,Forward,6,Boston Bruins,16.53,Brad Marchand,Left Wing,Forward,6,Boston Bruins,16.7,1.52
Trent Frederic,Center,Forward,6,Boston Bruins,14.18,Anders Bjork,Left Wing,Forward,6,Boston Bruins,10.97,1.58
Jake DeBrusk,Left Wing,Forward,6,Boston Bruins,13.25,Craig Smith,Center,Forward,6,Boston Bruins,16.53,1.6
David Krejci,Center,Forward,6,Boston Bruins,17.78,Charlie Coyle,Center,Forward,6,Boston Bruins,20.48,1.62
Sean Kuraly,Center,Forward,6,Boston Bruins,17.08,Anders Bjork,Left Wing,Forward,6,Boston Bruins,10.97,1.9
Charlie Coyle,Center,Forward,6,Boston Bruins,20.48,Anders Bjork,Left Wing,Forward,6,Boston Bruins,10.97,1.98
Patrice Bergeron,Center,Forward,6,Boston Bruins,15.77,Charlie Coyle,Center,Forward,6,Boston Bruins,20.48,2.02
Craig Smith,Center,Forward,6,Boston Bruins,16.53,Trent Frederic,Center,Forward,6,Boston Bruins,14.18,2.07
Charlie Coyle,Center,Forward,6,Boston Bruins,20.48,Sean Kuraly,Center,Forward,6,Boston Bruins,17.08,2.12
Charlie Coyle,Center,Forward,6,Boston Bruins,20.48,Chris Wagner,Right Wing,Forward,6,Boston Bruins,14.72,2.22
Nick Ritchie,Left Wing,Forward,6,Boston Bruins,15.12,Patrice Bergeron,Center,Forward,6,Boston Bruins,15.77,2.25
Nick Ritchie,Left Wing,Forward,6,Boston Bruins,15.12,Brad Marchand,Left Wing,Forward,6,Boston Bruins,16.7,2.33
Craig Smith,Center,Forward,6,Boston Bruins,16.53,Sean Kuraly,Center,Forward,6,Boston Bruins,17.08,2.37
David Krejci,Center,Forward,6,Boston Bruins,17.78,Craig Smith,Center,Forward,6,Boston Bruins,16.53,2.57
Brad Marchand,Left Wing,Forward,6,Boston Bruins,16.7,Anders Bjork,Left Wing,Forward,6,Boston Bruins,10.97,2.85
Brad Marchand,Left Wing,Forward,6,Boston Bruins,16.7,Charlie Coyle,Center,Forward,6,Boston Bruins,20.48,3.17
Patrice Bergeron,Center,Forward,6,Boston Bruins,15.77,Anders Bjork,Left Wing,Forward,6,Boston Bruins,10.97,3.48
Jake DeBrusk,Left Wing,Forward,6,Boston Bruins,13.25,Charlie Coyle,Center,Forward,6,Boston Bruins,20.48,3.52
David Krejci,Center,Forward,6,Boston Bruins,17.78,Ondrej Kase,Right Wing,Forward,6,Boston Bruins,4.67,3.85
