,Team,Year,GameMinute,Kicker,Distance,ScoreDiff,Grass,Success
1,PHI,2005,3,Akers,49,0,FALSE,0
2,PHI,2005,29,Akers,49,-7,FALSE,0
3,PHI,2005,51,Akers,44,-7,FALSE,1
4,PHI,2005,14,Akers,43,14,TRUE,0
5,PHI,2005,60,Akers,23,0,TRUE,1
6,PHI,2005,39,Akers,34,-3,TRUE,1
7,PHI,2005,37,Akers,48,7,TRUE,1
8,PHI,2005,51,Akers,20,10,TRUE,1
9,PHI,2005,60,Akers,60,-1,TRUE,0
10,PHI,2005,44,Akers,20,-6,FALSE,1
11,PHI,2005,60,Akers,38,-10,FALSE,0
12,PHI,2005,8,Akers,44,0,TRUE,1
13,PHI,2005,39,Akers,38,-4,TRUE,1
14,PHI,2005,56,Akers,37,-1,TRUE,1
15,PHI,2005,59,Akers,33,2,TRUE,1
16,PHI,2005,30,Akers,42,-3,TRUE,1
17,PHI,2005,34,Akers,49,0,TRUE,0
18,PHI,2005,54,Akers,36,-6,TRUE,1
19,PHI,2005,59,Akers,50,-3,TRUE,1
20,PHI,2005,42,Akers,31,-9,FALSE,1
21,PHI,2005,5,Akers,49,0,TRUE,1
22,PHI,2005,37,Akers,35,0,TRUE,1
23,TEN,2005,21,Bironas,47,-3,TRUE,0
24,TEN,2005,17,Bironas,39,7,TRUE,1
25,TEN,2005,30,Bironas,29,10,TRUE,1
26,TEN,2005,38,Bironas,47,10,TRUE,1
27,TEN,2005,11,Bironas,41,7,FALSE,1
28,TEN,2005,54,Bironas,39,-7,FALSE,1
29,TEN,2005,10,Bironas,34,-7,TRUE,1
30,TEN,2005,45,Bironas,38,-21,TRUE,0
31,TEN,2005,28,Bironas,52,1,TRUE,1
32,TEN,2005,46,Bironas,49,15,TRUE,1
33,TEN,2005,28,Bironas,24,7,TRUE,1
34,TEN,2005,56,Bironas,29,0,TRUE,1
35,TEN,2005,60,Bironas,47,-11,TRUE,1
36,TEN,2005,13,Bironas,53,7,TRUE,1
37,TEN,2005,30,Bironas,39,-12,TRUE,1
38,TEN,2005,53,Bironas,24,-5,TRUE,1
39,TEN,2005,26,Bironas,50,-7,TRUE,0
40,TEN,2005,15,Bironas,35,0,TRUE,1
41,TEN,2005,26,Bironas,41,-4,TRUE,1
42,TEN,2005,28,Bironas,21,-1,TRUE,1
43,TEN,2005,57,Bironas,22,16,TRUE,1
44,TEN,2005,21,Bironas,51,-7,FALSE,0
45,TEN,2005,30,Bironas,24,-14,FALSE,1
46,TEN,2005,11,Bironas,46,0,TRUE,0
47,TEN,2005,26,Bironas,23,-3,TRUE,1
48,TEN,2005,60,Bironas,21,0,TRUE,1
49,TEN,2005,39,Bironas,38,7,TRUE,1
50,TEN,2005,14,Bironas,24,0,TRUE,1
51,CHI,2005,9,Brien,48,1,TRUE,1
52,CHI,2005,14,Brien,48,4,TRUE,0
53,CHI,2005,47,Brien,36,25,TRUE,0
54,CHI,2005,29,Brien,39,-10,TRUE,0
55,SEA,2005,24,Brown,33,1,FALSE,1
56,SEA,2005,52,Brown,23,19,FALSE,1
57,SEA,2005,59,Brown,47,22,FALSE,1
58,SEA,2005,9,Brown,53,0,TRUE,1
59,SEA,2005,36,Brown,47,-4,TRUE,0
60,SEA,2005,60,Brown,47,0,TRUE,0
61,SEA,2005,30,Brown,34,0,FALSE,1
62,SEA,2005,36,Brown,44,3,FALSE,1
63,SEA,2005,53,Brown,28,6,FALSE,1
64,SEA,2005,30,Brown,55,-7,FALSE,1
65,SEA,2005,60,Brown,50,0,FALSE,1
66,SEA,2005,14,Brown,26,-3,TRUE,1
67,SEA,2005,39,Brown,28,15,TRUE,1
68,SEA,2005,30,Brown,31,4,FALSE,1
69,SEA,2005,5,Brown,21,0,TRUE,1
70,SEA,2005,37,Brown,51,8,TRUE,0
71,SEA,2005,43,Brown,47,12,TRUE,1
72,SEA,2005,73,Brown,36,0,FALSE,1
73,SEA,2005,43,Brown,40,42,TRUE,0
74,SEA,2005,23,Brown,52,18,FALSE,1
75,SEA,2005,30,Brown,50,21,FALSE,0
76,SEA,2005,55,Brown,52,35,FALSE,1
77,SEA,2005,17,Brown,36,14,TRUE,0
78,SEA,2005,30,Brown,57,8,FALSE,0
79,SEA,2005,59,Brown,44,-9,TRUE,1
80,SEA,2005,46,Brown,33,11,FALSE,1
81,SEA,2005,58,Brown,31,7,FALSE,1
82,SEA,2005,13,Brown,24,7,FALSE,1
83,SEA,2005,26,Brown,39,10,FALSE,1
84,SEA,2005,30,Brown,49,13,FALSE,0
85,SEA,2005,15,Brown,47,0,FALSE,1
86,SEA,2005,30,Brown,54,-4,FALSE,0
87,SEA,2005,34,Brown,50,-11,FALSE,0
88,HOU,2005,17,Brown,28,-3,FALSE,1
89,HOU,2005,16,Brown,32,-7,TRUE,1
90,HOU,2005,23,Brown,38,-4,TRUE,1
91,HOU,2005,33,Brown,43,-4,TRUE,1
92,HOU,2005,49,Brown,47,-18,TRUE,1
93,HOU,2005,23,Brown,39,-14,FALSE,1
94,HOU,2005,30,Brown,56,-18,FALSE,0
95,HOU,2005,30,Brown,38,-6,TRUE,1
96,HOU,2005,42,Brown,37,-3,TRUE,1
97,HOU,2005,46,Brown,35,0,TRUE,1
98,HOU,2005,51,Brown,38,3,TRUE,0
99,HOU,2005,58,Brown,40,0,TRUE,1
100,HOU,2005,44,Brown,24,-14,FALSE,1
101,HOU,2005,45,Brown,22,-17,TRUE,1
102,HOU,2005,26,Brown,39,14,TRUE,1
103,HOU,2005,39,Brown,46,14,TRUE,0
104,HOU,2005,58,Brown,35,7,TRUE,1
105,HOU,2005,12,Brown,39,0,FALSE,1
106,HOU,2005,30,Brown,26,-4,FALSE,1
107,HOU,2005,46,Brown,22,-1,FALSE,1
108,HOU,2005,57,Brown,29,-4,FALSE,1
109,HOU,2005,59,Brown,39,-1,FALSE,1
110,HOU,2005,15,Brown,30,0,TRUE,1
111,HOU,2005,57,Brown,37,0,TRUE,0
112,HOU,2005,60,Brown,31,-3,TRUE,0
113,HOU,2005,30,Brown,27,11,TRUE,1
114,HOU,2005,33,Brown,41,14,TRUE,1
115,HOU,2005,60,Brown,26,8,TRUE,1
116,HOU,2005,13,Brown,37,-7,TRUE,1
117,HOU,2005,29,Brown,53,0,TRUE,1
118,HOU,2005,45,Brown,38,-4,TRUE,0
119,HOU,2005,54,Brown,48,-4,TRUE,0
120,HOU,2005,6,Brown,21,0,TRUE,1
121,HOU,2005,54,Brown,31,0,TRUE,0
122,TB,2005,30,Bryant,41,7,FALSE,1
123,TB,2005,51,Bryant,40,13,TRUE,1
124,TB,2005,24,Bryant,42,8,TRUE,1
125,TB,2005,7,Bryant,43,0,TRUE,1
126,TB,2005,41,Bryant,46,7,TRUE,0
127,TB,2005,7,Bryant,35,0,FALSE,1
128,TB,2005,19,Bryant,36,3,FALSE,1
129,TB,2005,30,Bryant,43,-1,FALSE,1
130,TB,2005,56,Bryant,30,-5,FALSE,1
131,TB,2005,14,Bryant,36,4,TRUE,1
132,TB,2005,41,Bryant,32,4,TRUE,1
133,TB,2005,30,Bryant,47,-3,TRUE,1
134,TB,2005,47,Bryant,52,-9,TRUE,0
135,TB,2005,5,Bryant,31,0,FALSE,1
