p1,p2,time
Brad Marchand,David Pastrnak,1111
Patrice Bergeron,Brad Marchand,1077
Patrice Bergeron,David Pastrnak,955
Zdeno Chara,Charlie McAvoy,882
Torey Krug,Brandon Carlo,698
Torey Krug,David Pastrnak,663
Brad Marchand,Torey Krug,629
Patrice Bergeron,Torey Krug,540
Chris Wagner,Sean Kuraly,533
David Krejci,Jake DeBrusk,533
Brad Marchand,Charlie McAvoy,517
David Pastrnak,Charlie McAvoy,488
Brad Marchand,Brandon Carlo,463
Zdeno Chara,Sean Kuraly,444
Zdeno Chara,Brad Marchand,436
Anders Bjork,Charlie Coyle,428
Charlie McAvoy,Charlie Coyle,420
Patrice Bergeron,Charlie McAvoy,420
David Pastrnak,Brandon Carlo,418
Zdeno Chara,Brandon Carlo,417
Charlie Coyle,Matt Grzelcyk,414
Charlie McAvoy,David Krejci,406
Jake DeBrusk,Torey Krug,397
Zdeno Chara,Chris Wagner,391
Patrice Bergeron,Brandon Carlo,387
Charlie Coyle,Danton Heinen,384
Joakim Nordstrom,Sean Kuraly,384
Zdeno Chara,David Pastrnak,369
David Krejci,Matt Grzelcyk,363
Zdeno Chara,Patrice Bergeron,362
Joakim Nordstrom,Chris Wagner,360
Sean Kuraly,Charlie McAvoy,353
Charlie Coyle,Brandon Carlo,352
Sean Kuraly,Brandon Carlo,348
Jake DeBrusk,Charlie Coyle,347
Charlie McAvoy,Jake DeBrusk,340
Matt Grzelcyk,Charlie McAvoy,328
Chris Wagner,Charlie McAvoy,324
David Krejci,Torey Krug,322
Charlie Coyle,Torey Krug,318
Zdeno Chara,Charlie Coyle,316
Jake DeBrusk,Matt Grzelcyk,315
Chris Wagner,Brandon Carlo,315
Matt Grzelcyk,Danton Heinen,314
Zdeno Chara,Joakim Nordstrom,311
Matt Grzelcyk,Brad Marchand,309
Matt Grzelcyk,David Pastrnak,293
David Krejci,Brandon Carlo,292
Anders Bjork,Charlie McAvoy,283
Jake DeBrusk,Brandon Carlo,276
David Pastrnak,David Krejci,271
Sean Kuraly,Matt Grzelcyk,270
Zdeno Chara,Jake DeBrusk,264
Zdeno Chara,David Krejci,263
Anders Bjork,Zdeno Chara,261
Matt Grzelcyk,Anders Bjork,260
David Krejci,Danton Heinen,259
Danton Heinen,Charlie McAvoy,254
Chris Wagner,Matt Grzelcyk,253
Brandon Carlo,Anders Bjork,251
David Pastrnak,Jake DeBrusk,249
Matt Grzelcyk,Connor Clifton,249
Torey Krug,Danton Heinen,241
Matt Grzelcyk,Patrice Bergeron,240
Joakim Nordstrom,Charlie McAvoy,239
Joakim Nordstrom,Brandon Carlo,237
Danton Heinen,Brandon Carlo,229
Brandon Carlo,Matt Grzelcyk,216
Sean Kuraly,Anders Bjork,215
Torey Krug,Charlie McAvoy,212
Matt Grzelcyk,Jeremy Lauzon,207
Danton Heinen,Zdeno Chara,202
Danton Heinen,Anders Bjork,197
Brad Marchand,David Krejci,196
Charlie Coyle,David Krejci,192
Zdeno Chara,Par Lindholm,179
Sean Kuraly,Torey Krug,178
Anders Bjork,Torey Krug,178
Charlie Coyle,Brett Ritchie,170
David Krejci,Karson Kuhlman,169
Jake DeBrusk,Karson Kuhlman,168
Brad Marchand,Charlie Coyle,166
Patrice Bergeron,Jake DeBrusk,165
Brad Marchand,Jake DeBrusk,164
Brandon Carlo,Par Lindholm,160
Joakim Nordstrom,Matt Grzelcyk,156
Chris Wagner,Torey Krug,153
Charlie Coyle,Connor Clifton,150
Danton Heinen,Jake DeBrusk,148
David Pastrnak,Charlie Coyle,144
Par Lindholm,Chris Wagner,144
Connor Clifton,Danton Heinen,143
John Moore,Matt Grzelcyk,140
Charlie McAvoy,Par Lindholm,140
Anders Bjork,David Krejci,138
Danton Heinen,Brad Marchand,135
Anders Bjork,Jake DeBrusk,132
Matt Grzelcyk,Par Lindholm,130
Charlie Coyle,John Moore,122
Joakim Nordstrom,Par Lindholm,118
David Pastrnak,Danton Heinen,116
Charlie McAvoy,Karson Kuhlman,114
Charlie Coyle,Sean Kuraly,114
Jake DeBrusk,Connor Clifton,113
Brett Ritchie,Matt Grzelcyk,111
Sean Kuraly,Connor Clifton,111
Matt Grzelcyk,Karson Kuhlman,111
Chris Wagner,Anders Bjork,108
John Moore,Sean Kuraly,108
Charlie Coyle,Chris Wagner,107
Connor Clifton,David Pastrnak,107
Jake DeBrusk,Brett Ritchie,107
Zdeno Chara,Karson Kuhlman,105
Jake DeBrusk,John Moore,103
David Krejci,Connor Clifton,103
